Route_ID,Route_Name,Route,Short Name,Long Name,Description,Mode,Trip,Sign,Service,Length,Direction
1,170-F-1,170,170,Waltham - Dudley,Commuter Bus,3,38173968,Waltham Central Square (Express),BUS42018-hba48011-Weekday-02,20.8165,F
2,170-R-1,170,170,Waltham - Dudley,Commuter Bus,3,38174309,Dudley (Express),BUS42018-hba48011-Weekday-02,20.4348,R
3,23-R-1,23,23,Ashmont - Ruggles via Washington Street,Key Bus,3,38175312_1,Watertown Yard via Dudley,BUS42018-hba48011-Weekday-02,0.965417,R
4,4-F-1,4,4,North Station - Tide Street,Commuter Bus,3,38174928,North Station,BUS42018-hba48011-Weekday-02,2.31999,F
5,4-F-2,4,4,North Station - Tide Street,Commuter Bus,3,38174920,North Station via South Station,BUS42018-hba48011-Weekday-02,3.02948,F
6,4-R-1,4,4,North Station - Tide Street,Commuter Bus,3,38174936,Tide St,BUS42018-hba48011-Weekday-02,2.59074,R
7,4-R-2,4,4,North Station - Tide Street,Commuter Bus,3,38174944,Tide St via South Station,BUS42018-hba48011-Weekday-02,3.26423,R
8,44-F-1,44,44,Jackson Square - Ruggles,Local Bus,3,38174867,Jackson Square,BUS42018-hba48011-Weekday-02,1.66533,F
9,501-F-1,501,501,Brighton - Downtown Boston,Commuter Bus,3,38174477,Brighton Center (Express),BUS42018-hba48011-Weekday-02,6.47022,F
10,501-F-2,501,501,Brighton - Downtown Boston,Commuter Bus,3,38174505,Brighton Center (Express),BUS42018-hba48011-Weekday-02,9.93512,F
11,501-R-1,501,501,Brighton - Downtown Boston,Commuter Bus,3,38174498,Downtown (Express),BUS42018-hba48011-Weekday-02,6.23997,R
12,501-R-2,501,501,Brighton - Downtown Boston,Commuter Bus,3,38174169,Downtown (Express),BUS42018-hba48011-Weekday-02,9.52173,R
13,502-F-1,502,502,Watertown Yard - Copley,Commuter Bus,3,38173955,Watertown (Express),BUS42018-hba48011-Weekday-02,6.83902,F
14,502-R-1,502,502,Watertown Yard - Copley,Commuter Bus,3,38174170,Copley (Express),BUS42018-hba48011-Weekday-02,7.05395,R
15,503-F-1,503,503,Brighton - Copley,Commuter Bus,3,38174240,Brighton Center via Cambridge St (Express),BUS42018-hba48011-Weekday-02,4.94626,F
16,503-F-2,503,503,Brighton - Copley,Commuter Bus,3,38174296,Brighton Center (Express),BUS42018-hba48011-Weekday-02,8.41117,F
17,503-R-1,503,503,Brighton - Copley,Commuter Bus,3,38174302,Copley (Express),BUS42018-hba48011-Weekday-02,4.884,R
18,503-R-2,503,503,Brighton - Copley,Commuter Bus,3,38174232,Copley (Express),BUS42018-hba48011-Weekday-02,8.16575,R
19,504-F-1,504,504,Watertown Yard - Downtown Boston,Commuter Bus,3,38174223,Watertown (Express),BUS42018-hba48011-Weekday-02,8.36298,F
20,504-F-2,504,504,Watertown Yard - Downtown Boston,Commuter Bus,3,38174494,Watertown via Copley (Express),BUS42018-hba48011-Weekday-02,8.3459,F
21,504-R-1,504,504,Watertown Yard - Downtown Boston,Commuter Bus,3,38174483,Downtown (Express),BUS42018-hba48011-Weekday-02,8.40992,R
22,504-R-2,504,504,Watertown Yard - Downtown Boston,Commuter Bus,3,38174484,Downtown via Copley (Express),BUS42018-hba48011-Weekday-02,8.39316,R
23,505-F-1,505,505,Waltham Center - Downtown Boston,Commuter Bus,3,38173992,Waltham Central Square (Express),BUS42018-hba48011-Weekday-02,13.3486,F
24,505-F-2,505,505,Waltham Center - Downtown Boston,Commuter Bus,3,38173974,Waltham Central Square (Express),BUS42018-hba48011-Weekday-02,13.8808,F
25,505-R-1,505,505,Waltham Center - Downtown Boston,Commuter Bus,3,38173975,Downtown (Express),BUS42018-hba48011-Weekday-02,13.3736,R
26,505-R-2,505,505,Waltham Center - Downtown Boston,Commuter Bus,3,38173991,Downtown (Express),BUS42018-hba48011-Weekday-02,13.9057,R
27,553-F-1,553,553,Roberts - Downtown Boston,Local Bus,3,38174229,Waltham via Copley (Express),BUS42018-hba48011-Weekday-02,12.3443,F
28,553-F-2,553,553,Roberts - Downtown Boston,Local Bus,3,38173971,Roberts (Express),BUS42018-hba48011-Weekday-02,15.0465,F
29,553-R-1,553,553,Roberts - Downtown Boston,Local Bus,3,38173953,Downtown via Copley (Express),BUS42018-hba48011-Weekday-02,13.0086,R
30,553-R-2,553,553,Roberts - Downtown Boston,Local Bus,3,38174010,Newton Corner,BUS42018-hba48011-Weekday-02,7.55479,R
31,553-R-3,553,553,Roberts - Downtown Boston,Local Bus,3,38174023,Downtown (Express),BUS42018-hba48011-Weekday-02,15.4396,R
32,554-F-1,554,554,Waverley Square - Downtown Boston,Local Bus,3,38173969,Waverley (Express),BUS42018-hba48011-Weekday-02,16.5191,F
33,554-F-2,554,554,Waverley Square - Downtown Boston,Local Bus,3,38174054,Waverley via Trapelo Rd (Express),BUS42018-hba48011-Weekday-02,18.8578,F
34,554-R-1,554,554,Waverley Square - Downtown Boston,Local Bus,3,38174043,Downtown (Express),BUS42018-hba48011-Weekday-02,17.1427,R
35,554-R-2,554,554,Waverley Square - Downtown Boston,Local Bus,3,38173970,Downtown via Trapelo Rd (Express),BUS42018-hba48011-Weekday-02,19.4814,R
36,556-F-1,556,556,Waltham Highlands - Downtown Boston,Commuter Bus,3,38174040,Waltham Highlands,BUS42018-hba48011-Weekday-02,5.28931,F
37,556-F-2,556,556,Waltham Highlands - Downtown Boston,Commuter Bus,3,38173972,Waltham Highlands (Express),BUS42018-hba48011-Weekday-02,13.2818,F
38,556-R-1,556,556,Waltham Highlands - Downtown Boston,Commuter Bus,3,38174039,Newton Corner,BUS42018-hba48011-Weekday-02,5.35051,R
39,556-R-2,556,556,Waltham Highlands - Downtown Boston,Commuter Bus,3,38173973,Downtown (Express),BUS42018-hba48011-Weekday-02,13.2353,R
40,558-F-1,558,558,Riverside - Downtown Boston,Commuter Bus,3,38174107,Riverside,BUS42018-hba48011-Weekday-02,8.33581,F
41,558-F-2,558,558,Riverside - Downtown Boston,Commuter Bus,3,38174032,Riverside (Express),BUS42018-hba48011-Weekday-02,16.3283,F
42,558-R-1,558,558,Riverside - Downtown Boston,Commuter Bus,3,38174106,Newton Corner,BUS42018-hba48011-Weekday-02,8.11605,R
43,558-R-2,558,558,Riverside - Downtown Boston,Commuter Bus,3,38174112,Downtown (Express),BUS42018-hba48011-Weekday-02,16.0009,R
44,57-F-1,57,57,Watertown Yard - Kenmore,Key Bus,3,38175312_3,Watertown Yard,BUS42018-hba48011-Weekday-02,3.13766,F
45,57-F-2,57,57,Watertown Yard - Kenmore,Key Bus,3,38174178,Watertown Yard,BUS42018-hba48011-Weekday-02,5.87034,F
46,57-F-3,57,57,Watertown Yard - Kenmore,Key Bus,3,38174685,Watertown Yard,BUS42018-hba48011-Weekday-02,5.41287,F
47,57-F-4,57,57,Watertown Yard - Kenmore,Key Bus,3,38174684,Watertown via Kenmore,BUS42018-hba48011-Weekday-02,8.34529,F
48,57-R-1,57,57,Watertown Yard - Kenmore,Key Bus,3,38174216,Kenmore,BUS42018-hba48011-Weekday-02,2.60209,R
